label,Reference_X,Estimated_X,Reference_Z,Estimated_Z,Detected,Estimated_Y,Error_Z,Variance_Y,Variance_X,Error_X,Reference_Y,Variance_Z,Error_Y
target 11,30.012063,29.978448638645958,0.099871,0.10256731887386517,True,1.225531969930209,0.002696318873865164,0.0006485817585507328,0.0006644103589391433,-0.03361436135404361,1.215549,0.0008493534058094457,0.009982969930208974
target 12,30.018412,30.047457304356357,0.1087,0.10635470957681892,True,0.008848335845294333,-0.0023452904231810873,0.0006390624491331646,0.000651878550148011,0.029045304356355217,0.010697,0.0008298233057428786,-0.0018486641547056665
target 13,31.897419,31.870252742985446,0.111503,0.11366313588451793,True,1.2100147360134779,0.0021601358845179247,0.000459752341560921,0.0004875688961842464,-0.027166257014552997,1.206417,0.000733209462457635,0.0035977360134777925
target 14,31.822948,31.852163293133202,0.114772,0.1121997152337566,True,0.047212241840949104,-0.002572284766243396,0.0004580118588533497,0.0004989138459698323,0.029215293133201925,0.033015,0.0007668339127129938,0.014197241840949101
target 15,33.791228,33.77723522944893,0.13392,0.13058418093863144,True,1.1972727812423982,-0.0033358190613685668,0.0004769436446241235,0.0005199725334937808,-0.013992770551070066,1.200317,0.0007618657653856056,-0.0030442187576018576
target 16,33.746407,33.756718965173846,0.126733,0.12690945259456687,True,0.005779064731326597,0.00017645259456686158,0.0004971619888425587,0.0005210935723028794,0.010311965173848137,0.012266,0.0007599223680837382,-0.006486935268673404
target 17,35.383927,35.360851373351075,0.126409,0.12701469516154318,True,1.1881789851210443,0.0006056951615431849,0.00042798134750651794,0.00045899292449334996,-0.02307562664892515,1.194947,0.0007013717815917947,-0.00676801487895573
target 18,35.394908,35.41749849887292,0.132602,0.14136438500504167,True,0.024688192811629928,0.008762385005041673,0.0004292048433468993,0.0004497750762849939,0.022590498872915532,0.021154,0.0006995058091405819,0.0035341928116299284
target 19,37.602792,37.570697340657375,0.127541,0.12496818897518125,True,1.1860854325549495,-0.0025728110248187386,0.00045525825082705926,0.0004892157023735979,-0.032094659342625675,1.197234,0.0007241819951851707,-0.011148567445050439
target 20,37.550177,37.57330468241406,0.131652,0.13007622271832986,True,0.003214008850179431,-0.001575777281670132,0.0004806885906022161,0.0005018358749315513,0.0231276824140636,0.000794,0.0007330416083419598,0.002420008850179431
target 21,39.114427,39.106788456521286,0.122385,0.11868791912097776,True,1.2065105825880453,-0.0036970808790222354,0.00043576866282505375,0.0004663416805326487,-0.007638543478712734,1.206609,0.0006507025561339856,-9.841741195470988e-05
target 22,39.119977,39.143501533854575,0.132589,0.1324081802859547,True,0.006611440439679581,-0.0001808197140453216,0.0004827281475206794,0.0005091946413416578,0.023524533854576646,0.002665,0.0007316201699780426,0.003946440439679581
target 23,41.35734,41.37324494061077,0.129047,0.13066545593173318,True,1.22412475423495,0.0016184559317331815,0.00046552549896956087,0.0005267656312336209,0.01590494061076697,1.225458,0.0007131795764481998,-0.0013332457650498952
target 24,41.337241,41.36542193856684,0.123554,0.12847912332989853,True,0.03638664810962962,0.004925123329898529,,,0.028180938566841007,0.027052,,0.009334648109629619
target 25,42.977157,42.972687481486446,0.116706,0.11266939704986179,True,1.200288320093546,-0.004036602950138218,0.0005219346016491678,0.0005462423696589704,-0.004469518513552373,1.203808,0.0007063618170318831,-0.0035196799064540762
target 26,42.939957,42.939957,0.106407,0.10640700000000014,False,0.015890999999999857,1.3877787807814457e-16,,,0.0,0.015891,,-1.4224732503009818e-16
target 27,44.848708,44.83703951432165,0.112619,0.11691542409873767,True,1.181932898377249,0.004296424098737678,0.0007671252693317108,0.0008085970500454694,-0.011668485678349327,1.185368,0.0009089723061000725,-0.003435101622750958
target 28,44.841313,44.85839531532289,0.10299,0.10596747784521132,True,0.01811966051545081,0.0029774778452113237,,,0.017082315322888064,0.013559,,0.00456066051545081
target 29,0.018074,0.016233249314333998,0.112487,0.11147822825696285,True,1.1940906034051424,-0.0010087717430371512,0.0006715908582336156,0.0006671585211658245,-0.0018407506856660018,1.199624,0.0008264242277868098,-0.005533396594857631
target 30,0.010323,0.020609239638151953,0.124178,0.1239809246271879,True,-0.008389762592841604,-0.00019707537281209164,0.0006434389738954944,0.0006467126800488118,0.010286239638151952,-0.005361,0.0007864727590713212,-0.003028762592841604
target 31,1.640339,1.6403390000000009,0.111681,0.11168100000000014,False,1.2172059999999998,1.3877787807814457e-16,,,8.881784197001252e-16,1.217206,,-2.220446049250313e-16
target 32,1.646271,1.6267158173965488,0.112424,0.12182424180890816,True,0.013980969176702815,0.009400241808908166,0.0004956385368250911,0.0005335635888886336,-0.019555182603451238,0.014171,0.0007665836268178797,-0.00019003082329718465
target 33,3.7506,3.6814052011842664,0.161113,0.149845340062138,True,1.1644834103002617,-0.011267659937861996,0.0005190225774283532,0.0005782699831783196,-0.06919479881573354,1.199734,0.0008084626820039487,-0.03525058969973838
target 34,3.732919,3.7329190000000017,0.116123,0.11612299999999998,False,0.04670900000000003,-2.7755575615628914e-17,,,1.7763568394002505e-15,0.046709,,2.7755575615628914e-17
target 35,5.382743,5.670679737975803,0.112137,0.10334157371308339,True,1.2528250778537007,-0.00879542628691661,0.0004957954828129046,0.0005066190307359206,0.2879367379758033,1.20911,0.000755907284235931,0.04371507785370077
target 36,5.403434,5.369629592320228,0.12207,0.12445565171760697,True,0.01670993305497398,0.0023856517176069764,0.00047677303979105814,0.0005071177146875076,-0.033804407679771664,0.034064,0.0007141837135665156,-0.017354066945026017
target 37,7.576194,7.543901595574663,0.109547,0.11662687661239324,True,1.2061678886279388,0.007079876612393232,0.00041327084163085976,0.000434637409533001,-0.03229240442533676,1.195525,0.0006253628519223834,0.010642888627938829
target 38,7.537573,7.534436823350092,0.120682,0.12320292822148837,True,0.022031854972455855,0.002520928221488375,0.0004153688218794765,0.0004345017644680027,-0.0031361766499085064,0.032157,0.0006078325721837353,-0.010125145027544143
target 39,9.207829,9.208552573507278,0.115335,0.12228219140868002,True,1.229057906445286,0.006947191408680026,0.000408877302114596,0.0004279955731870137,0.0007235735072779192,1.213253,0.0006169827140083147,0.015804906445286093
target 40,9.19961,8.962514398008734,0.118659,0.11473145532426954,True,-0.012122356485883085,-0.003927544675730463,0.000404486419484719,0.0004196268963028133,-0.23709560199126578,-0.012983,0.0005964041154554034,0.0008606435141169152
target 41,11.390299,11.388282089702411,0.117358,0.1231391465082925,True,1.2326086014103763,0.005781146508292492,0.00041212730806177485,0.00044097609570235564,-0.002016910297589547,1.232954,0.0006397151396360251,-0.000345398589623791
target 42,11.34518,11.397226496589631,0.122436,0.11535723954102073,True,-0.011916912701240984,-0.007078760458979275,0.0004143098236492333,0.00044572861011549073,0.05204649658963234,-0.014281,0.0006610990213069918,0.0023640872987590166
target 43,12.981742,12.994044368742916,0.120342,0.1252048212239556,True,1.1794543405367532,0.0048628212239555935,0.00042570611298593504,0.000440964695569594,0.012302368742915348,1.197906,0.0006431909031486317,-0.018451659463246672
target 44,12.999369,13.027363582102215,0.123427,0.11889290020447563,True,-0.012367908101316952,-0.004534099795524368,0.0004309375844434913,0.000444061203602281,0.02799458210221495,-0.006188,0.0006988152518896693,-0.006179908101316952
target 45,15.1384,15.120440463326593,0.12,0.11616292110228188,True,1.2141961680363256,-0.003837078897718116,0.0006355176069322459,0.0006428552760326643,-0.017959536673407328,1.2192,0.0008845998696906225,-0.005003831963674488
target 46,15.0495,15.075105775409419,0.12,0.12166917805908684,True,0.028079441420910595,0.00166917805908684,0.0006258462392627319,0.0006355591443571493,0.025605775409418996,0.0,0.0009224010643877856,0.028079441420910595
target 47,16.7386,16.738600000000005,0.12,0.11999999999999988,False,1.2191999999999998,-1.1102230246251565e-16,,,3.552713678800501e-15,1.2192,,-2.220446049250313e-16
target 48,16.7132,16.7132,0.12,0.11999999999999966,False,-5.551115123125783e-17,-3.3306690738754696e-16,,,0.0,0.0,,-5.551115123125783e-17
target 49,18.3388,18.338800000000003,0.12,0.1200000000000001,False,1.2192,1.1102230246251565e-16,,,3.552713678800501e-15,1.2192,,0.0
target 50,18.288,18.288,0.12,0.11999999999999988,False,0.0,-1.1102230246251565e-16,,,0.0,0.0,,0.0
