label,top_left_y,top_left_x,bottom_left_x,bottom_left_y,width,top_right_x,top_right_y,bottom_right_x,bottom_right_y,height
MD_1658321230,0.47320055956517215,32.257297961047634,32.25189786947191,-0.22814235425277363,1.0529266645360225,33.31019341583714,0.4650936381669504,33.30479332426142,-0.2362492756509954,0.7013637029043296
MD_1658321257,0.4555948330542782,32.52891546145312,32.53252725663683,-0.24311381608828148,1.048954762719357,33.57785620985181,0.46101706326099406,33.581468005035525,-0.23769158588156564,0.698717984204693
MD_1658321281,0.7967138102075557,32.51725882930734,32.518281961873264,0.10024974759042937,1.0455721769876196,33.56282987808556,0.798249794398869,33.563853010651485,0.10178573178174266,0.6964648141273182
MD_1658321327,1.476131284213984,32.51939193922819,32.51639376760767,0.7782537487876203,1.0477027021559375,33.56708497293988,1.4716302602359255,33.564086801319355,0.7737527248095618,0.6978839756620304
MD_1658321353,1.4770575881552148,32.78321866421257,32.77856348789961,0.7770234443317967,1.0509538922412869,33.83414931982687,1.4700689754743383,33.82949414351391,0.7700348316509202,0.7000496219448237
MD_1658321376,1.1299162792683044,32.78137211558393,32.77914417050396,0.42544566565923836,1.0575962227018465,33.838963049331205,1.1265715627223782,33.83673510425124,0.4221009491133123,0.7044741366281756
MD_1658321399,0.8074323904092644,32.78636037349709,32.78363924717674,0.10587675026435411,1.0532227339556053,33.839575185021175,0.8033472824283325,33.83685405870082,0.10179164228342213,0.7015609173461606
MD_1658321450,0.4607731095311978,33.03331897903622,33.037587127270584,-0.24401286524097848,1.0580837734998652,34.09138335071053,0.467180693878022,34.095651498944896,-0.23760528089415428,0.704798898498655
MD_1658321473,0.7949343226640058,33.032244849281724,33.03540104766435,0.09291144804208334,1.0539269014526618,34.08616109949931,0.7996725853112874,34.089317297881934,0.09764971068936507,0.7020299695031956
MD_1658321496,1.1351279835994275,33.03797030766964,33.040528404602206,0.4364585615769748,1.0488888889290244,34.08685216610787,1.1389683426878974,34.089410263040435,0.4402989206654445,0.6986741050941452
MD_1658321520,1.466411136856024,33.05731689235285,33.0591519878485,0.7642269545204852,1.0541620143355568,34.11147530678874,1.4691660854958424,34.11331040228439,0.7669819031603036,0.7021865802603374
MD_1658321547,1.4656675514556183,33.323811228001084,33.320619839004905,0.7612717495429058,1.0574894756065005,34.38128985021929,1.460876458678697,34.37809846122311,0.7564806567659844,0.7044030314500204
MD_1658321570,1.127720108646576,33.32706368275105,33.32521878453381,0.4231424639647834,1.057755240919883,34.38481529756857,1.124950443609385,34.38297039935133,0.4203727989275923,0.7045800600604408
MD_1658321593,0.797101314089347,33.326216465782814,33.32510660408396,0.08860920369263797,1.0636295361107904,34.389844696843205,0.7954351272424545,34.388734835144355,0.08694301684574551,0.7084929797022502
MD_1658321616,0.46292069895469834,33.31235760446643,33.312877025351526,-0.24542494277357485,1.063408629954644,34.37576594851829,0.4637004828211525,34.37628536940339,-0.24464515890712069,0.7083458321706249
MD_1658321642,0.45316980781966426,33.572479098772995,33.57334085913531,-0.25620617665757056,1.0649559383924023,34.63743425134874,0.45446353097664455,34.638296011711056,-0.2549124535005903,0.7093765079166128
MD_1658321665,0.7866003239065189,33.56210012739779,33.561272146370925,0.07841698122218649,1.0631654182334465,34.62526481899047,0.7853573121890529,34.62443683796361,0.07717396950472039,0.7081838267061283
MD_1658321688,1.119173748038293,33.56225221850077,33.56138112356563,0.4146272724193184,1.0577056305028476,34.61995704056694,1.1178660112952228,34.6190859456318,0.41331953567624835,0.7045470141257462
MD_1658321711,1.452915117644953,33.58385508106385,33.581483031215626,0.7475532396952204,1.0589349376263437,34.64278403100096,1.4493540629104924,34.64041198115273,0.7439921849607598,0.7053658664021503
MD_1658321737,1.4477710330325118,33.843545103847845,33.84164070236152,0.7409542545211683,1.0611169800823932,34.90465823239189,1.44491203833885,34.90275383090557,0.7380952598275066,0.7068193440548829
MD_1658321760,1.1131873684512528,33.845939597204264,33.845606450225695,0.4043994696023579,1.064072402870735,34.91001188253646,1.1126872294570458,34.90967873555789,0.4038993306081508,0.7087879771423473
MD_1658321782,0.7769003142807425,33.852659612634135,33.852080717282156,0.06711616249205682,1.065568270719914,34.91822752895006,0.7760312439973114,34.917648633598084,0.06624709220862574,0.7097843878602941
MD_1658321805,0.4476793055630264,33.83588879550461,33.838121453571084,-0.2626110852358242,1.0663331786460153,34.90221670631444,0.45103109750956083,34.904449364380916,-0.25925929328928976,0.7102938997508185
MD_1658321833,0.43893561952850846,34.0969752619634,34.10803684794458,-0.27061787056827047,1.0653510679254625,35.16219689596547,0.4555418949650818,35.173258481946654,-0.25401159513169713,0.7096397071704337
MD_1658321856,0.7644064576657269,34.08858920410472,34.097414326143564,0.05514187439179741,1.0648703324495192,35.153377114924254,0.7776552275607227,35.1622022369631,0.0683906442867932,0.7093194850458722
MD_1658321878,1.1025643568406986,34.088546866094624,34.09695252442452,0.3944980617567802,1.0630638726761856,35.15153583924196,1.1151834042078215,35.15994149757186,0.40711710912390303,0.7081161863181957
MD_1658321901,1.4345586394771404,34.11170533487386,34.117912340364505,0.7276216988594679,1.061334429889307,35.172998857534814,1.443876945458699,35.17920586302546,0.7369400048410266,0.7069641892819151
MD_1658321927,1.4280077758421363,34.369491891117626,34.37537592300857,0.719224135878887,1.0641025568240232,35.433557782771,1.436841215678406,35.43944181466194,0.7280575757151566,0.7088080629555836
MD_1658321950,1.0951459613053678,34.37097396347974,34.37842265032336,0.3844504410135355,1.0669947128123671,35.4379100774857,1.1063283492175857,35.44535876432931,0.3956328289257534,0.7107345534716688
MD_1658321973,0.758867341053294,34.37331658297463,34.3811800520837,0.047457894403081735,1.0680731413924298,35.44132448341056,0.7706724234469349,35.44918795251963,0.05926297679672249,0.7114529042245809
MD_1658321997,0.4266285418598801,34.35724089047549,34.36728300010385,-0.28393492150157784,1.0668443873807896,35.42397875318521,0.44170432201804366,35.434020862813576,-0.26885914134341427,0.710634420380844
MD_1658322022,0.4148972518919098,34.606030962569804,34.61619813774452,-0.2997553949360186,1.072985344733711,35.678907737644394,0.43016078748711334,35.68907491281911,-0.28449185934081506,0.7147249660318276
MD_1658322045,0.7515885086781569,34.60642706661076,34.613812806379215,0.03970727917838046,1.068773684056756,35.67514323401306,0.762676396898389,35.682528973781515,0.05079516739861256,0.7119195418486844
